NM_BAIRRO;NM_LOGRADO;NU_NUMERO;NM_COMPLEM
ROCINHA;RUA UYM TRAVESSA 30;4;CASA 02
ROCINHA;ESTRADA DA GAVEA;120;RUA 4 CASA 02
ROCINHA;TRAVESSA LUZ;49;301
ROCINHA;ESTRADA DA GAVEA;199;CASA 24 F
ROCINHA;ESTRAD DA GAVEA;250;VILA VERDE
ROCINHA;ESTRADA DA GAVEA;48;
ROCINHA;RUA RAIA;8;CASA
ROCINHA;ESTRADA  DA GAVEA;369;RUA 02 TRAVESSA 1   9
ROCINHA;ESTRADA DA GAVEA;170;
ROCINHA;TRAVESSA MULTIDOES;15 SB;
ROCINHA;ESTRADA DA GAVEA;151;CLINICA DA GAVEA      CLINICA
ROCINHA;ESTRADA DA GAVEA;545;TRAVESSA BENTO RUBIOL RUA 42 A
ROCINHA;ESTRADA DA GAVEA;;CASA 12 BECO
ROCINHA;ESTRADA DA GAVEA;259;341 CASA 02
ROCINHA;RUA 4;;
ROCINHA;RUA 02 BECO 02 CASA 15;;
ROCINHA;RUA UM TRAVESSA 11;10;CASA 03
ROCINHA;RUA DOIS;293;TERREIRAO
ROCINHA;ESTRADA DA GAVEA;SN;
ROCINHA;TRAVESSA PALMAS;14;APT 204
ROCINHA;RUA 2 TRAVESSA 52 CASA 50;;
ROCINHA;RUA CHACARA DE ALVORADA;30;CASA 10
ROCINHA;TRAVESSA MESOPOTANIA;5:00 AM;APT 301
ROCINHA;ESTRADA DA GAVEA RUA 2;;CASA 39
ROCINHA;TRAVESSA LUZ;8;202
ROCINHA;ESTRADA DA GAVEA;399;RUA 2
ROCINHA;TRAVESSA LUZ 07 / 301    BARCELOS;;
ROCINHA;ESTRADA DA GAVEA;377;
ROCINHA;TRAVESSA DO VALLE;9;
ROCINHA;ESTRADA DA GAVEA;558;
ROCINHA;TRAVESSA CAMPOS;14;APT 401
ROCINHA;ESTRADA DA GAVEA;;CASA 69
ROCINHA;RUA DOIS;124;CASA 04 BECO 12
ROCINHA;RUA 2;;CASA 05
ROCINHA;ESTRADA DA GAVEA;441;CASA 2
ROCINHA;RUA ESTRADA DA GAVEA;478;CASA
ROCINHA;RUA 02;;
ROCINHA;ESSTRADA DA GAVEA;524;CASA 31
ROCINHA;TRAVESSA ROMA;26;
ROCINHA;;;VILA 199 CASA 03  35
ROCINHA;ESTRADA DA GAVEA;466;APT 101
ROCINHA;TRAVESSA 2;90;CASA SB
ROCINHA;BECO 02 CASA 05;192;
ROCINHA;ESTRADA DA GAVEA;;CASA 90
ROCINHA;TRAVESSA ESPERANCA;;
ROCINHA;ESTRADA GAVEA;259;CASA 22
ROCINHA;TRAVESSA MARIA PALOMA;10;101
ROCINHA;ESTRADA DA GAVEA RUA DOIS;523;
ROCINHA;ESTRADA DA GAVEA;259;RUA UM CASA 13  2 ANDAR
ROCINHA;ESTRADA DA GAVEA 259 BECO 1 CASA 1;;
ROCINHA;ESTRADA DA GAVERA;473;
ROCINHA;ESTRADA DA GAVEA;398;
ROCINHA;ESTRADA DA GAVEA;428;
ROCINHA;RUA VALAO;310;
ROCINHA;ESTRADA DA GAVEA;451;
ROCINHA;TRAVESSA VALLE 44 CASA 7;;
ROCINHA;RUA DIONEIA;400;APT 106
ROCINHA;TRAVESSA PENNA;CASA 6;
ROCINHA;RUA 2 TRAVESSA;13;CASA 1
ROCINHA;ESTRADA DA GAVEA RUA 3;25;CASA 01
ROCINHA;ESTRADA DA GAVEA;421;RUA 3 CASA 9
ROCINHA;RUA 4 BECO 17 CASA 25;;
ROCINHA;RUA FONTE;256;
ROCINHA;RUA 4    9 C LG 1;;
ROCINHA;ESTRADA DA GAVEA;431;APT 201
ROCINHA;TRAVESSA JORDAO CASA 8 PAULA BRITO;;BAR DA MERCEDE
ROCINHA;RUA RAIZ;140;CASA 04
ROCINHA;TRAVESSA KATIA;39;
ROCINHA;ESTRADA DA GAVEA;50;
ROCINHA;RUA QUATRO TRAVESSA 18 A;55;APT 101
ROCINHA;TRAVESSA LEBLON;2;
ROCINHA;LARGO DO BOIADEIRO;19;
ROCINHA;RUA 02;152;
ROCINHA;ESTRADA DA GAVEA;523;RUA 4 BECO 39 APT 501
ROCINHA;BECO UM CASA 10/16;;
ROCINHA;TRAVESSA VALLE;48;
ROCINHA;ESTRADA DA GAVEA;399;TRAVESSA 32 CASA 02
ROCINHA;ESTRADA DA GAVEA;52 M;RUA DA FONTE 1 A VILA VERDE
ROCINHA;ESTRADA DA GAVEA;325;BECO 1 CASA 32
ROCINHA;ESTRADA DA GAVEA;;
ROCINHA;ESTRADA DA GAVEA;524;33 BECO B
ROCINHA;RUA 02;1;
ROCINHA;RUA DONIAL;739;CAS 24
ROCINHA;RUA DOIS TRAVESSA 11 CASA 1;;
ROCINHA;RUA 1 ,65;65;SOBRADO
ROCINHA;TRAVESSA DA LUZ;12;
ROCINHA;RUA DA FONTE;7;CASA 03
MANGUINHOS;RUA VISCONDE DE NITEROI;1600;
ROCINHA;RUA DO CANAL;45;
ROCINHA;RUA UM;78;BLOCO 1 CASA 14
MANGUINHOS;RUA DA PASSAGEM;34;CASA 04
ROCINHA;VILA ROUPA SUJA;11;TRAVESSA DOZE
ROCINHA;ESTRADA DA GAVEA;520;CASA 12
ROCINHA;RUA GREGORIO;6;APT 202
ROCINHA;RUA 2 CAS 24 A;;
MANGUINHOS;RUA AMARAL;15;
MANGUINHOS;RUA RANGEL;16;
MANGUINHOS;RUA SANTA MARTA;15;
MANGUINHOS;AVENIDA NOVO RIO;100;
ROCINHA;ESTRADA DA GAVEA;9;
ROCINHA;RUA 2;;BECO 152 CASA D
ROCINHA;RUA 1;80;
ROCINHA;RUA SERVIDAO LESTE;21;CASA 103
ROCINHA;RUA 4  TRAVESSA 3;CASA 5;
ROCINHA;ESTRADA DA GAVEA;168;TRAVESSA CASA 8
ROCINHA;RUA DA MATA;49;VILA VERDE
ROCINHA;ESTRADA DA GAVEA;515;.102
ROCINHA;RUA 02;;APT 301
ROCINHA;RUA MARIA DO CARMO;26;CASA
ROCINHA;RUA DO CANOA;;CASA 35
ROCINHA;ESTRADA DA GAVEA;15;
MANGUINHOS;RUA LEOPOLDO BULHOES 800 RUA 15 QD 16 CASA 21;;PRACA CRUZEIRO
ROCINHA;TRAVESSA MULTIDAO;15;
ROCINHA;SERVIDAO LESTE;17;APT 7
ROCINHA;RUA IV BECO 17;8;CASA 3
ROCINHA;TRAVESSA KATIA;25;
ROCINHA;RUA INES;;CASA 09
MANGUINHOS;RUA CEARA;22;CASA
ROCINHA;LARGO DO BOIADEIRO;9;QUADRO 203
MANGUINHOS;RUA SANTA MARTA;15;
ROCINHA;LARGO DO BOIADEIRO;;RUA 2
ROCINHA;RUA 1;;
ROCINHA;ESTRADA DA GAVEA;468;
ROCINHA;RUA 01;23;CASA 04
ROCINHA;ESTRADA DA GAVEA;523;
ROCINHA;RUA 1;95;
ROCINHA;RUA 02;182;CASA
ROCINHA;ESTRADA DA GAVEA;487;CASA 01 A
MANGUINHOS;RUA SAO DANIEL;60;
MANGUINHOS;RUA MANOEL RIBEIRO DE VASCONCELOS;284;APT 506
ROCINHA;BECO E CASA 1 VILA VERDE;;
ROCINHA;ESTRADA DA GAVEA;259;CASA 7
ROCINHA;ESTRADA DA GAVEA;9;
ROCINHA;RUA 03;159;101
ROCINHA;ESTRADA DA GAVEA RUA 1 TRAVESSA 36;83;CASA 02
ROCINHA;TRAVESSA ESPERANCA;19;
ROCINHA;TRAVESSA UNIAO;33;CASA 07
ROCINHA;RUA DO CANAL;17;505
ROCINHA;ESTRADA DA GAVEA;487;CASA 6 B
ROCINHA;RUA CANAL;43;
ROCINHA;RUA DO CANAL;310;
ROCINHA;TRAVESSA GREGORIO;;CASA 16
ROCINHA;ESTRADA DA GAVEA  RUA 4 CASA 27;;
ROCINHA;RUA UM;330;CASA 8
ROCINHA;RUA DOIS TRAVESSA 16;55;
ROCINHA;RUA DO CANAL;48;APT 301
ROCINHA;BECO PERNAMBUCO;39;CASA
ROCINHA;VILA PAZ TRAVESSA 10;85;
ROCINHA;RUA 02;18;CASA 01
ROCINHA;RUA 03;305;
ROCINHA;ESTRADA DA GAVEA;279;
ROCINHA;RUA VILA VERDE;22;CASA 03
ROCINHA;RUA 2 BECO 122 TRAVESSA 60;75;
ROCINHA;ESTRADA DA GAVEA;458;CASA 19
MANGUINHOS;RUA RANGEL;;
ROCINHA;ESTRADA DA GAVEA 369 R 2 26 C;;
ROCINHA;ESTRADA DA GAVEA;468;
ROCINHA;VILA RAIZ / TRAVESSA SEIS;;
MANGUINHOS;RUA LEOPOLDO BULHOES;700;QUADRA 36 CASA 03
MANGUINHOS;RUA JOSE MOREIRA PEQUENO;13;
MANGUINHOS;RUA PERNAMBUCO;41;CASA
MANGUINHOS;AVENIDA CAROL;2;
ROCINHA;TRAVESSA OLIVEIRA;13;302
ROCINHA;ESTRADA DA GAVEA;455;BLOCO 2 CASA 3
MANGUINHOS;AV BRASIL;;QD 34 CASA 196
ROCINHA;TRAVESSA KATIA;9;APT 308
ROCINHA;ESTRADA DA GAVEA;39;RUA 2
ROCINHA;TRAVESSA GREGORIO;14A;SB
ROCINHA;ESTRADA DA GAVEA RUA 1;;
ROCINHA;BECO E N? 6 VILA VERDE;;
ROCINHA;RUA 2 TRAVESSA 56 CASA 02;;
ROCINHA;RUA 2 ESTRADA  DA GAVEA;269;
ROCINHA;ESTRADA DA GAVEA;524;CASA 9
ROCINHA;ESTRADA DA GAVEA;1520;
ROCINHA;TRAVESSA CAMPO ESPERANCA;7;101
ROCINHA;RUA DA MARTA;;CASA 3   33
ROCINHA;TRAVESSA SAMARITANA;32;
ROCINHA;TRAVESSA SAMARITANA;9;A
ROCINHA;ESTRADA DA GAVEA;428;SOBRADO
ROCINHA;RUA MARIA DO CARMO;115;CASA 8
ROCINHA;RUA DA PAIA 25;;
ROCINHA;ESTRADA DA GAVEA;;RUA 2 CASA 02
MANGUINHOS;AV DOS DEMOCRATICOS;545;FUNDOS
ROCINHA;RUA TRES TRAVESSA NOVE;95;CASA
MANGUINHOS;TRAVESSA GIL GRAFREE;16;CASA 3
ROCINHA;ESTRADA DA GAVEA;262;
MANGUINHOS;RUA LEOPOLDO BULHOES;900;APTO 601
ROCINHA;TRAVESSA SILVA;6;
ROCINHA;ESTRADA DA GAVEA;14;
MANGUINHOS;BECO OLIMPIO;173;AP 31
ROCINHA;RUI DE DIONEIA;750;
ROCINHA;ESTRADA DA GAVEA;262;TRAV 7  C 04
ROCINHA;TRAVESSA VILA ROUPA SUJA;50;BECO 08
ROCINHA;RUA 28;;CASA15
ROCINHA;LARGO DO BOIADEIRO;4;
ROCINHA;RUA DOIS TRAVESSA 35 CASA 16;;
ROCINHA;RUA QUATRO - TRAVESSA 7;28;CASA 6 201
ROCINHA;ESTRADA DA GAVEA;31;BECO 4   CASA 4
MANGUINHOS;RUA SAO DANIEL;54;
MANGUINHOS;RUA JUVENAL;19;PARQUE JOAO GOULAR
ROCINHA;ESTRADA DA GAVEA 428 RUA 4 CASA 35;;
MANGUINHOS;RUA LEONEL BRIZOLA;14;
MANGUINHOS;RUA LEOPOLDO BULHOES;800;Q. 7 CASA 11
ROCINHA;TRAVESSA UNIAO;33;CASA 7
MANGUINHOS;AV DOM HELDER CAMARA;1498;CASA 69
MANGUINHOS;QD 26;7;SAMORA MACHEL
MANGUINHOS;TRAVESSA DA AMIZADE;;
MANGUINHOS;RUA SANTA MARTA;13;PARQUE JOAO GOULART
MANGUINHOS;RUA 1;155;CASA
MANGUINHOS;NAZARE;43;
MANGUINHOS;RUA PAU BRASIL;28;VILA SAO PEDRO
ROCINHA;ESTRAD DA GAVEA;306;CASA J
MANGUINHOS;RUA SAO DOMINGOS;15;
ROCINHA;CAMINHO DO BOIADEIRO;14;
ROCINHA;RUA DOIS;19;
ROCINHA;TRAVESSA NOVE;10;
MANGUINHOS;RUA TIBIRA;9;
MANGUINHOS;RUA SAO DANIEL;;50
ROCINHA;RUA  DOIS;;TRAVESSA XIII CASA40
ROCINHA;RU ADO CANAL 11;;TRAVESSA 2
MANGUINHOS;AVENIDA DEMOCRATICOS;1090;
ROCINHA;ESTRADA DA GAVEA 523 RUA 02;;
ROCINHA;TRAVESSA 14;160;CASA
ROCINHA;RUA DO CANAL;37;CASA 02
ROCINHA;RUA DA MATA;34;
ROCINHA;ESTRADA DA GAVEA369 RUA 59 CS 07;;R 33
ROCINHA;ESTRADA DA GAVEA RUA 3 CASA 28;;
ROCINHA;ESTRADA DA GAVEA;;RUA 2 75
MANGUINHOS;RUA MARANHAO;;
MANGUINHOS;AVENIDA DOS DEMOCRATICOS;1090;
ROCINHA;RUA UM;80;CASA 02
ROCINHA;TRAVESSA GREGORIO;14A;CASA 03
MANGUINHOS;JOSE MOREIRA PEQUENO;101;
ROCINHA;ESTRADA DA GAVEA;523;19 B
MANGUINHOS;RUA NOVACAP;25;
MANGUINHOS;RUA SAI LUCAS;2;CASA
ROCINHA;RUA DOIS TRAVESSA 17;36;CAS A072
ROCINHA;RUA UM TRAVESSA 49 - 50 CASA 1;;
MANGUINHOS;RUA FISCAL MONTEIRO;33;
ROCINHA;ESTRADA DA GAVEA;487;CASA 2
ROCINHA;ESTRADA DA GAVEA;529;
ROCINHA;BECO DO PERNAMBUCO;13;
ROCINHA;BECO 4 84 62 A 15;;
ROCINHA;TRAVESSA ALEGRIA;2;CASA 4
ROCINHA;ESTRADA DA GAVEA;389;
ROCINHA;TRAVESSA ESPERANCA;19;
ROCINHA;RUA 2;7;
ROCINHA;RUA 4;75;
ROCINHA;ESTRADA DA GAVEA;453;RUA 4 ,CASA 18B
ROCINHA;BECO PERNEMBUCO;8;APT 201
ROCINHA;RUA 4 TRAVESSA 3;CASA 2;
ROCINHA;TRAVESSA ONZE - RUA 1;10;CASA 02
ROCINHA;E JUVENAL;520;101
ROCINHA;RUA DOIS TRAVESSA SEIS;35;CASA 16
ROCINHA;TRAVESSA SILVA;17 A;
ROCINHA;RUA 2 TRAVESSA 58;;CASA 03
ROCINHA;ESTRADA DA GAVEA;458;CASA 27
ROCINHA;RUA 2 TRAVESSA 48;40;
ROCINHA;RUA 1;85;TRAVESSA 36
ROCINHA;TRAVESSA BENTO RUBENS;CASA4;31 A
ROCINHA;RUA MARIA DO CARMO;15;
ROCINHA;RUA DO CANAL;12;ESTRADA DA GAVEA
ROCINHA;TRAVESSA CAMPOS;26;
ROCINHA;RUA VILA VERDE;27 B;TRAVESSA 4
ROCINHA;ESTRADA DA GAVEA 473;;
ROCINHA;RUA DO CANAL;5;CASA 06
ROCINHA;ESTRADA DA GAVEA;308;CASA 11
ROCINHA;TRAVESSA VIA PAZ 3 A;;
ROCINHA;RUA 2 161 QUADRA B6 CASA 11;;
ROCINHA;ESTRADA DA GAVEA;27;
ROCINHA;ESTRADA DA GAVEA 524 CS 68;;VILA VERDE
ROCINHA;TRAVESSA BELA VISTA;CASA 5;APT 1
ROCINHA;RUA DA FONTE;3;
ROCINHA;ESTRADA DA GAVEA;827;
ROCINHA;ESTRADA DA GAVEA;170;
ROCINHA;RUA DAUCEIA;800;CASA 01
ROCINHA;CAMINHO DO  FERREIRA;42;
ROCINHA;ESTRADA GAVEA;4;
ROCINHA;RUA 4;18;TRAVESSA 13
ROCINHA;TRAVESSA GREGORIO;31;
ROCINHA;TRAVESSA GREGORIO;15;101
ROCINHA;RUA 02;;
ROCINHA;ESTRADA DA GAVEA;416;FUNDOS  CASA 4
ROCINHA;BECO 4 CASA 43;;
ROCINHA;ESTRADA DA GAVEA;202;QUADRA 18 CASA 1
ROCINHA;ESTRADA DA GAVEA,RUA 2;;CASA 10    MACEGA
ROCINHA;TRAVESSA GALILEIA;17;
ROCINHA;RUA 2;53;
MANGUINHOS;TRAVESSA PELE;CASA 0;
ROCINHA;RUA 1;;CASA 42
ROCINHA;RUA 03;18;CASA01
ROCINHA;RUA DOIS TRAVESSA 60;;CASA  22
ROCINHA;RUA UMUARAMA;70;5B
ROCINHA;RUA DIONEIA;321;CASA 101
MANGUINHOS;LEOPOLDO BULHOES;800;RUA 1 CASA 26 QD 27
ROCINHA;RUA BECO 145;601;
ROCINHA;RUA 02;;BLOCO 02  CASA 10
ROCINHA;ESTRADA DA GAVEA;318;
ROCINHA;TRAVESSA OLIVEIRA;16;APT 102
ROCINHA;;;
ROCINHA;RUA DO BOIADEIRO;3;BLOCO 11
ROCINHA;VILA VERDE TV 01 ( HUM );20;
ROCINHA;RUA QUATRO;77;SB FDS
ROCINHA;TRAVESSA 46;30;
ROCINHA;RUA LEONORA;712;
ROCINHA;ESTRADA  DA GAVEA;145;
ROCINHA;ESTRADA DA GAVEA;528;10 OLIMPICA
ROCINHA;RUA 4 TRAVESSA 24;75;APT 101
ROCINHA;RUA 2;67;CASA 4
MANGUINHOS;RUA DEPUTADO SAULI JORGE;20;
ROCINHA;ESTRADA DA GAVEA 199 TRAVESSA B;;CASA 240
ROCINHA;RUA TRAVESSA ESPERANCA;19;
ROCINHA;BECO 11   15   APT 402;;VALAO
ROCINHA;ESTRADA DA GAVEA;523;RUA 2,15
ROCINHA;ESTRADA DA GAVEA;468;
MANGUINHOS;BECO DO BARBEIRO;1;
MANGUINHOS;RUA NOSSA SENHORA DE FATIMA;47;CASA
ROCINHA;ESTRADA DA GAVEA;487;CASA 401
ROCINHA;TRAVESSA GREGORIO;12;201
MANGUINHOS;ARUA MARAVILHA;3;
ROCINHA;BECO DA PAZ;14;
ROCINHA;TRAVESSA LIBERDADE;42;401
ROCINHA;RUA DOIS;23;APT 301
ROCINHA;TRAVESSA  ESPERANCA;12;
ROCINHA;RUA 02 CASA 05 SECO 02;;
ROCINHA;RUA DOIS TRSVESSA 56   3;;
ROCINHA;RUA DOIS TRAVESSA 17 N? 50;6;CASA
ROCINHA;RUA 4 - BECO 67 - CASA 13;;CASA
ROCINHA;TRAVESSA SILVIA 5 APT 202;;
ROCINHA;ESTRADA  DA GAVEA RUA DOIS;34;
ROCINHA;ESTRADA DA GAVEA;S N;
MANGUINHOS;ESTRADA MANGUINHOS;1;RUA NOVA CAPRI 1
MANGUINHOS;RUA GERALDO;9;
ROCINHA;ESTRADA DA GAVEA;3;CASA 4
ROCINHA;ESTRADA DA GAVEA;199;
ROCINHA;TRAVESSA KATIA;27;
ROCINHA;RUA 04 TRAVESSA 75;105;402
ROCINHA;ESTRADA DA GAVEA;377;BECO
ROCINHA;ESTRADA DA GAVEA;S N;
ROCINHA;RUA 02;10;
ROCINHA;TRAVESSA FLORES;19;101
ROCINHA;RUA 2;159;CASA 101
ROCINHA;RUA DOIS TRAVESSA 39/50 CS 04;;
ROCINHA;TRAVESSA GREGORIO;10;B
ROCINHA;TRAVESSA LEAL - PAULA BRITO 8 / 201;;
ROCINHA;RUA DOIS BECO 02 104 / 121 / 5;;CASA 08
ROCINHA;ESTRADA DA GAVEA;486;
ROCINHA;ESTRADA DA GAVEA;C 86;
ROCINHA;TAVESSA GREGORIO;14;
ROCINHA;RUA DOIS TRAVESSA 38 / 105;;
ROCINHA;TRAVESSA FLORES;19;204
ROCINHA;TRAVESSA CAMPOS;24;CS 02 A
ROCINHA;RUA 4 TRAVESSA 12 CASA 18;;
ROCINHA;RUA DO VALAO;4;
ROCINHA;TRAVESSA ESPERANCA;15;
ROCINHA;TRAVESSA DR BENTO RUBRO;65 B;
ROCINHA;ESTRADA DA GAVEA;;RUA 2 BECO 59 CASA 23
MANGUINHOS;AVENIDA DOS DEMOCRATICOS;144;
ROCINHA;BECO QUATRO 43;13;
ROCINHA;ESTRADA DA GAVEA;170;CASA 20
ROCINHA;RUA 2 TRAVESSA 13 CASA 65;;
ROCINHA;ESTRADA DA GAVEA;523;
ROCINHA;ESTRADA DA GAVEA;520;401
ROCINHA;ESTRADA DA GAVEA;160;CASA 3 A
MANGUINHOS;RUA MARIANA;15;CHP2
ROCINHA;TRAVESSA OLIVEIRA;33;APT 404
ROCINHA;ESTRADA DA GAVEA;523;CASA 01
ROCINHA;RUA 1 CASA 03;;
ROCINHA;ESTRADA DA GAVEA - RUA III;23;CASA 15
ROCINHA;RUA CANAL TRAVESSA 08 10 CASA 01;;
ROCINHA;RUA 02 ,BECO 09 N? 33;;
ROCINHA;RUA DOIS 123 CASA 101;;
ROCINHA;VILA RAIZ UM;103;JB
MANGUINHOS;RUA 1;47;QD 1
MANGUINHOS;RUA DEP SAMIR JORGE;29;CASA
MANGUINHOS;RUA NOVACAP;68;APTO 101
ROCINHA;TRAVESSA  OLIVEIRA;38;402
MANGUINHOS;RUA JACINTO;13;CASA 13
MANGUINHOS;QUADRA 7 RUA 7;11;CASA
MANGUINHOS;RUA PARANA;13;
MANGUINHOS;RUA PROJETADA;;CASA 68
ROCINHA;RUA 1  36  BECO;54;
ROCINHA;RUYA DIONEIA;804;CASA 02
MANGUINHOS;RUA 11 QD 12 CASA 12;800;
ROCINHA;VIA APIA;43;
ROCINHA;TRAVESSA ROMA;39;APT 302
MANGUINHOS;RUA SANTANA DO LIVRAMENTO;17;
ROCINHA;RUA 2;224;501
ROCINHA;RUA DO CANAL  ,TRAVESSA 13;38;
ROCINHA;TRAVESSA DO VALE;26;CASA 63
ROCINHA;ESTRADA DA GAVEA;739;
ROCINHA;ESTRADA DA GAVEA;;CASA  08
ROCINHA;RUA DA LADEIRA;;CASA 07
ROCINHA;TRAV VALLE;75;
ROCINHA;ESTRADA DA GAVEA;17;BECO 04
ROCINHA;RUA TRAMPOLIM;32;CASA 02
ROCINHA;ESTRADA DA GAVEA ,RUA 02;;CASA 22
ROCINHA;ESTRADA DA GAVEA;35;3? ANDAR
ROCINHA;ESTRADA DA GAVEA;486;
ROCINHA;ESTRADA DA GAVEA ,RUA 4;;CMPDP 28 ,ECUC 37 C
ROCINHA;ESTRADA DA GAVEA;178;CASA 03 GD 1
ROCINHA;RUA 2;105;,
ROCINHA;ESTRADA DA GAVEA;524;CASA 03
ROCINHA;;;
ROCINHA;TRAVESSA ROMA;;CASA 09
ROCINHA;RUA 02;90;
ROCINHA;RUA 4 -TRAV. 3/5-CASA 01;;
ROCINHA;RUA DA FONTE;73;
ROCINHA;TRAVESSA UNIAO  A C;27;201
ROCINHA;RUA 01  -TRAVESSA 14;5;CASA
ROCINHA;RUA 1;35;
ROCINHA;ESTRADA DA GAVEA;259;CASA 59
ROCINHA;RUA 2;30;
ROCINHA;TRAVESSA 1 DE MAIO;5;
ROCINHA;RUA 02 CASA 14 BECO 13;;
ROCINHA;TRAVESSA  ROMA;11;CASA 201
ROCINHA;TRAVESSA ROMA;10;APT 102
MANGUINHOS;NOSSA SENHORA APARECIDA;32;
ROCINHA;RUA 4 TRAVESSA DEZ 20 / 301;;
ROCINHA;ESTRADA DA GAVEA;524;CASA 64
ROCINHA;RUA QUATRO;92;CASA
ROCINHA;RUA IV TRAVESSA III;36;CASA 04
ROCINHA;TRAVESSA CAMPO ESPERANCA;;
MANGUINHOS;RUA DOS PALMARES;39;MANDELA 3
ROCINHA;TRAVESSA GALILEIA;11;CASA 1
MANGUINHOS;RUA TENENTE JARDIM;;
ROCINHA;ESTRADA DA GAVEA;237;CASA 07
MANGUINHOS;RUA NOVA CAP;35;
ROCINHA;ESTRADA DA GAVEA;387;1
ROCINHA;RUA DA LADEIRA;23;
MANGUINHOS;RUA DA PASSAGEM;22;
ROCINHA;ESTRADA DA GAVEA;16;
MANGUINHOS;RUA DEZOITO;30;QUADRA 22
ROCINHA;ESTRADA DA GAVEA;419;
ROCINHA;RUA 4 TRAVESA 12;;CASA 250 A
ROCINHA;RUA DO VALAO;3;
ROCINHA;TRAVESSA ESPERANCA;19;
ROCINHA;RUA 2 TRAVESSA 48/65 CA A;65;CASA A
MANGUINHOS;AVENIDA DOS DEMOCRATICOS;635;APTO 303
ROCINHA;ESTRADA GAVEA;180 A;
MANGUINHOS;TRAVESSA KELLY;18;
ROCINHA;ESTRADA DA GAVEA;458;TRAVESSA CORAJOSOS
ROCINHA;TR. BELA VISTA;14;
ROCINHA;VILA VERDE 16 LARGUINHO;;
ROCINHA;ESTRADA DA GAVEA;480;CASA  4 ANDAR
MANGUINHOS;RUA 4 QUADRA 5;;CASA 33
ROCINHA;ESTRADA DA GAVEA RUA 02  28 CASA;;
ROCINHA;R 02 TRAVESSA 48;30;
ROCINHA;ESTRADA DA GAVEA 150 CASA 02;;ESTACA DA CEDAE
ROCINHA;TRAVESSA CATIA 10;;
ROCINHA;RUA 1;143;SOBRADO
ROCINHA;ESTRADA DA GAVEA;308 A;
ROCINHA;ESTRADA DA GAVEA;262;CASA 02 FUNDOS
ROCINHA;TRAVESSA OLIVEIRA 33 / 404;;
ROCINHA;ESTRADA DA GAVEA;162;CASA 02
ROCINHA;RUA DA RAIA;6;
ROCINHA;ESTRADA DA GAVEA;37;RUA 3
ROCINHA;RUA UM TRAVESSA 52 155;;
ROCINHA;RUA 3 CAS 12;;
ROCINHA;RUA DO CANAL;22;
ROCINHA;RUA 7;80;
ROCINHA;RUA LUCENA;400;
ROCINHA;ESTRADA DA GAVEA 140;140;CASA 3 A
ROCINHA;RUA CANAL  37;;
ROCINHA;ESTRADA DA GAVEA;9:00 AM;
ROCINHA;RUA 3;52;CASA 3
ROCINHA;ESTRADA DA GAVEA 68 RUA 2;46;
ROCINHA;RUA LEANDRO;743;
ROCINHA;TRAVESSA DO VALE;72;
ROCINHA;RUA UM;48;
ROCINHA;ESTRADA DA GAVEA;455;CASA 01
ROCINHA;RUA 2 TRAVESSA 60;85;
ROCINHA;ESTRADA DA GAVEA;180;
MANGUINHOS;AV ATLANTICA;104;
MANGUINHOS;AV BENTO RIBEIRO DANTAS;S N;BLOCO 19 APT 508
MANGUINHOS;RUA MAONEL RIBEIRO VASCONCELOS;S N;BLC 20 APT 103
MANGUINHOS;RUA MARANHAO;46;
MANGUINHOS;AV BRASIL;;QUADRA  34 CASA 196
ROCINHA;ESTRADA DA GAVEA;135;
MANGUINHOS;AV BRASIL;S N;RUA F CASA 196
ROCINHA;TRAVESSA DO VALE;2;
MANGUINHOS;RUA DAS ORQUIDEAS;57;CASA
MANGUINHOS;RUA CARTOLA;9;CASA 03
MANGUINHOS;CONJUNTO NELSON MANDELA;3;RUA 5 QD 6
MANGUINHOS;RUA SAO PEDRO;23;
ROCINHA;RUA DOIS 148 CASA B;;
ROCINHA;ESTRADA DA GAVEA R 2 CASA 09;;
MANGUINHOS;RUA PARANA;6;
MANGUINHOS;BECO SAO MATHEUS;11;CASA
ROCINHA;ESTRADA DA GAVEA RUA JOSE INACIO;36;
ROCINHA;ESTRADA DA GAVEA;421;
MANGUINHOS;RUA 19 QD 22;9;NELSON MANDELA
MANGUINHOS;AV BRASIL;32;
ROCINHA;ESTRADA DA GAVEA;2;APT 203
ROCINHA;ESTRADA DA GAVEA;308;
MANGUINHOS;VIA  C  04 ( SB 2);143;CASA 04
ROCINHA;RUA 2;4;
MANGUINHOS;RUA MIRANDA;17;
MANGUINHOS;RUA 18 Q 22;1;
ROCINHA;RUA DO CANAL;2 B;
MANGUINHOS;ROSAS;28;CASA  2
ROCINHA;ESTRADA DA GAVEA;;RUA DOIS   BECO 369  CASA 5
ROCINHA;RUA DA FONTE;9;
ROCINHA;TRAVESSA CARIJOS;6;APT 301
ROCINHA;RUA 02;15;
ROCINHA;RUA DO CANAL;192;CASA 2
MANGUINHOS;AV DOM HELDER CAMARA;1184;BL 5 APT 101
MANGUINHOS;BECO DOS PALMARES;58;MANDELA DE PEDRA
ROCINHA;RUA 02;55;BECO 01
MANGUINHOS;RUA 8 QUADRA 9 CASA 39;800;MFPQPMEP CVMIPFT
MANGUINHOS;RUA DEPUTADO SAMIR JORGE;16;VILA TURISMO
ROCINHA;RUA IV;;TRAVESSA 12  16
